,VC,Size,Internal Weight,External Weight,Quality,P-value,Min Dist,Max Dist,Total Dist,Below Thres,Taxon Prediction Score,Avg Dist,Members,order,family,genus
95,VC_164_0,2,293.0135131090896,1202.2441880437113,0.19596188194395156,0.08879252953534761,5.744562646538029,5.744562646538029,1,1,1.0,5.744562646538029,"Rhizobium~phage~vB_RleM_P10VF,Sinorhizobium~phage~phiM9",['Unassigned'],['Unassigned'],['Unassigned']
96,VC_165_0,4,1800.0,1912.4721985311844,0.4848521157174344,0.06293645460621412,3.1622776601683795,6.164414002968976,6,6,1.0,4.8132942522803885,"Caulobacter~virus~Karma,Caulobacter~virus~Magneto,Caulobacter~virus~Swift,Caulobacter~virus~phiCbK",['Caudovirales'],['Siphoviridae'],['Phicbkvirus']
97,VC_165_1,1,0,1384.7802266712204,0.0,1,0,0,1,1,1,0,Caulobacter~virus~Rogue,['Caudovirales'],['Siphoviridae'],['Phicbkvirus']
98,VC_165_2,1,0,897.2524252024045,0.0,1,0,0,1,1,1,0,Caulobacter~phage~CcrColossus,['Unassigned'],['Unassigned'],['Unassigned']
99,VC_166_0,4,408.1437589667307,226.56578970942329,0.6430402060564818,9.132760506459722e-05,4.358898943540674,7.810249675906654,6,6,1.0,6.522908784130344,"Citrobacter~phage~CVT22,Pseudomonas~phage~O4,Pseudomonas~phage~PA11,Salinivibrio~phage~CW02",['Unassigned'],['Unassigned'],['Unassigned']
100,VC_167_0,2,61.073762047481,76.19684761858929,0.4449150637274166,0.125,3.872983346207417,3.872983346207417,1,1,1.0,3.872983346207417,"Celeribacter~phage~P12053L,Roseobacter~phage~SIO1",['Unassigned'],['Unassigned'],['Unassigned']
101,VC_168_0,2,2.710009866940661,1.6208627458597196,0.6257422254653536,1.0,7.211102550927978,7.211102550927978,1,1,1.0,7.211102550927978,"Puniceispirillum~phage~HMO-2011,Vibrio~phage~CHOED",['Unassigned'],['Unassigned'],['Unassigned']
102,VC_169_0,2,158.68920545631445,82.61013279024542,0.6576445945084428,0.125,2.8284271247461903,2.8284271247461903,1,1,1.0,2.8284271247461903,"Vibrio~phage~ICP2,Vibrio~phage~ICP2_2013_A_Haiti",['Unassigned'],['Unassigned'],['Unassigned']
103,VC_16_0,6,1973.7865254166873,91.90525990367479,0.9555087256691484,4.0790187512492e-06,1.0,6.928203230275509,15,15,1.0,5.06489228220609,"Acidianus~filamentous~virus~3,Acidianus~filamentous~virus~6,Acidianus~filamentous~virus~7,Acidianus~filamentous~virus~8,Acidianus~filamentous~virus~9,Sulfolobus~islandicus~filamentous~virus",['Ligamenvirales'],['Lipothrixviridae'],['Betalipothrixvirus']
104,VC_170_0,4,1240.3627395142476,122.13453098834597,0.9103597976799666,2.6804980365351884e-05,6.782329983125268,7.211102550927978,6,6,1.0,7.010263895810436,"Cellulophaga~phage~phi13:2,Cellulophaga~phage~phi18:3,Cellulophaga~phage~phi19:3,Cellulophaga~phage~phi46:3",['Unassigned'],['Unassigned'],['Unassigned']
105,VC_171_0,2,93.01449533382883,103.08234963755106,0.47432938223664023,0.16666666666666666,7.681145747868608,7.681145747868608,1,1,1.0,7.681145747868608,"Cellulophaga~phage~phi10:1,Cellulophaga~phage~phi19:1",['Unassigned'],['Unassigned'],['Unassigned']
106,VC_172_0,2,300.0,25.766729336558672,0.920904355736284,0.2222222222222222,3.1622776601683795,3.1622776601683795,1,1,1.0,3.1622776601683795,"Cellulophaga~phage~phi17:2,Cellulophaga~phage~phi4:1",['Caudovirales'],['Podoviridae'],['Cba41virus']
107,VC_173_0,3,522.7356363276775,0,1.0,1,2.23606797749979,3.605551275463989,3,3,1.0,3.001298971044053,"Cellulophaga~phage~phi12:1,Cellulophaga~phage~phi17:1,Cellulophaga~phage~phi18:1",['Caudovirales'],['Siphoviridae'],['Cba181virus']
108,VC_174_0,2,48.99622899466134,0,1.0,1,0.0,0.0,1,1,1.0,0.0,"Cellulophaga~phage~phi12:2,Cellulophaga~phage~phi12a:1",['Unassigned'],['Unassigned'],['Unassigned']
109,VC_175_0,4,1577.393512542613,31.14759795199983,0.9806361194322089,0.013345792583692584,0.0,2.0,6,6,1.0,1.0,"Flavobacterium~phage~Fpv1,Flavobacterium~phage~Fpv2,Flavobacterium~phage~Fpv20,Flavobacterium~phage~Fpv3",['Unassigned'],['Unassigned'],['Unassigned']
110,VC_176_0,2,40.21803016441166,4.754480867269029,0.894280289043239,0.5,6.324555320336759,6.324555320336759,1,1,1.0,6.324555320336759,"Cellulophaga~phage~phiSM,Flavobacterium~phage~FCL-2",['Unassigned'],['Unassigned'],['Unassigned']
111,VC_177_0,3,20.481732400577844,13.016941902065787,0.6114191927577707,0.07219819770165753,0.0,1.4142135623730951,3,3,1.0,0.9428090415820635,"Chimpanzee~faeces~associated~microphage~1,Chimpanzee~faeces~associated~microphage~2,Chimpanzee~faeces~associated~microphage~3",['Unassigned'],['Unassigned'],['Unassigned']
112,VC_178_0,60,119612.73875325442,1865.7969790237685,0.9846409329205636,3.0320554376966255e-120,1.4142135623730951,8.12403840463596,1770,1770,1.0,6.140281708125788,"Citrobacter~phage~CR44b,Citrobacter~phage~CR8,Citrobacter~phage~SH1,Citrobacter~phage~SH2,Citrobacter~phage~SH3,Citrobacter~phage~SH4,Citrobacter~phage~phiCFP-1,Cronobacter~phage~Dev2,Delftia~phage~IME-DE1,Enterobacter~phage~E-2,Enterobacter~phage~E-3,Enterobacter~phage~phiEap-1,Enterobacteria~phage~13a,Enterobacteria~phage~285P,Enterobacteria~phage~BA14,Enterobacteria~phage~EcoDS1,Enterobacteria~phage~K1F,Enterobacteria~phage~T3,Enterobacteria~phage~T7,Erwinia~phage~FE44,Erwinia~phage~vB_EamP-L1,Escherichia~phage~64795_ec1,Escherichia~phage~CICC~80001,Escherichia~phage~K30,Escherichia~phage~LM33_P1,Escherichia~phage~P483,Escherichia~phage~P694,Escherichia~phage~PE3-1,Escherichia~phage~vB_EcoP_GA2A,Klebsiella~phage~K11,Klebsiella~phage~K5,Klebsiella~phage~KP32,Klebsiella~phage~vB_Kp1,Klebsiella~phage~vB_KpnP_KpV289,Kluyvera~phage~Kvp1,Morganella~phage~MmP1,Morganella~phage~vB_MmoP_MP2,Pseudomonad~phage~gh-1,Pseudomonas~phage~PPPL-1,Pseudomonas~phage~PPpW-4,Pseudomonas~phage~Pf-10,Pseudomonas~phage~Phi-S1,Pseudomonas~phage~phi15,Pseudomonas~phage~phiIBB-PF7A,Pseudomonas~phage~phiPSA2,Ralstonia~phage~RSB2,Salmonella~phage~BP12A,Salmonella~phage~Vi06,Salmonella~phage~phiSG-JL2,Stenotrophomonas~phage~IME15,Vibrio~phage~ICP3,Vibrio~phage~N4,Vibriophage~VP4,Yersinia~phage~Berlin,Yersinia~phage~Yep-phi,Yersinia~phage~Yepe2,Yersinia~phage~phiA1122,Yersinia~phage~phiYeO3-12,Yersinia~phage~vB_YenP_AP10,Yersinia~phage~vB_YenP_AP5","['Unassigned', 'Caudovirales']","['Unassigned', 'Podoviridae']","['Unassigned', 'T7virus', 'Kp32virus']"
113,VC_179_0,19,7760.243914555284,778.5407031232129,0.9088230072566369,2.9159855925219576e-50,2.23606797749979,8.366600265340756,171,171,1.0,6.799138236853808,"Cyanophage~9515-10a,Cyanophage~KBS-P-1A,Cyanophage~NATL1A-7,Cyanophage~NATL2A-133,Cyanophage~P-SSP2,Cyanophage~SS120-1,Prochlorococcus~phage~P-GSP1,Prochlorococcus~phage~P-SSP10,Prochlorococcus~phage~P-SSP3,Prochlorococcus~phage~P-SSP7,Synechococcus~phage~P60,Synechococcus~phage~S-CBP1,Synechococcus~phage~S-CBP2,Synechococcus~phage~S-CBP3,Synechococcus~phage~S-CBP4,Synechococcus~phage~S-CBP42,Synechococcus~phage~S-RIP1,Synechococcus~phage~S-RIP2,Synechococcus~phage~Syn5",['Unassigned'],['Unassigned'],['Unassigned']
