k141_160354||full_1	16816	3	0
k141_40170||full_1	23760	633	5
k141_80323||full_1	22687	24	16
k141_401227||full_1	3813	0	0
k141_501323||full_1	36185	3	0
k141_561487||full_1	2890	97	0
k141_581512||full_1	27821	2172	16
k141_100831||full_1	10905	505	94
k141_421700||full_1	2345	0	0
k141_501633||full_1	48335	0	0
k141_20656||full_1	303	0	0
k141_241430||full_1	4806	1109	27
k141_281684||full_1	15474	441	3
k141_80816||full_1	637	206	46
k141_521974||full_1	2166	6	0
k141_581897||full_1	1168	17	1
k141_121114||full_1	6687	3298	84
k141_562229||full_1	13977	1785	318
k141_281742||full_1	67736	237	35
k141_140994||full_1	50359	18901	135
k141_542178||full_1	13932	2	0
k141_262296||full_1	8479	2015	29
k141_21247||full_1	388	0	0
k141_422336||full_1	1806	0	0
k141_1757||full_1	4549	1094	145
k141_582464||full_1	49942	726	5
k141_582584||full_1	657	0	0
k141_81403||full_1	16049	1381	32
k141_402833||full_1	5606	184	18
k141_563077||full_1	3883	0	0
k141_101932||full_1	30869	874	7
k141_483033||full_1	34551	25	16
k141_2327||full_1	9114	1	1
k141_242403||full_1	4669	224	89
k141_502672||full_1	44095	1825	17
k141_582804||full_1	4015	1225	27
k141_522911||full_1	1099	0	0
k141_242485||full_1	75521	1683	11
k141_403173||full_1	1434	408	27
k141_383071||full_1	20452	94	6
k141_523006||full_1	1357	0	0
k141_403229||full_1	6453	6	0
k141_582944||full_1	3274	260	125
k141_222007||full_1	5463	1283	32
k141_383120||full_1	13284	5	1
k141_263219||full_1	1977	119	14
k141_162439||full_1	8478	0	0
k141_343459||full_1	3166	10	2
k141_523493||full_1	56588	26420	436
k141_323785||full_1	629	271	121
k141_363576||full_1	17202	4	0
k141_263667||full_1	2711	2806	447
k141_62478||full_1	14986	2	0
k141_343677||full_1	13422	1077	41
k141_324098||full_1	4090	242	13
k141_163040||full_1	1459	0	0
k141_484035||full_1	10006	0	0
k141_243366||full_1	2436	13	1
k141_182763||full_1	18442	3970	43
k141_423947||full_1	3476	65	6
k141_123441||full_1	26879	11209	95
k141_484235||full_1	510	9	3
k141_42761||full_1	1649	2	0
k141_62828||full_1	58768	29654	296
k141_283753||full_1	31803	810	3
k141_103244||full_1	1234	0	0
k141_344407||full_1	8347	370	7
k141_63290||full_1	4638	0	0
k141_223404||full_1	2157	2	0
k141_565008||full_1	26608	8	0
k141_284445||full_1	5204	0	0
k141_304674||full_1	53305	6766	44
k141_404917||full_1	35587	1663	12
k141_143554||full_1	25222	17471	322
k141_544502||full_1	34899	1772	17
k141_384971||full_1	926	0	0
k141_325451||full_1	4147	5954	198
k141_365081||full_1	1951	0	0
k141_504274||full_1	438	1	1
k141_204677||full_1	13109	1	1
k141_284640||full_1	14129	688	3
k141_164324||full_1	71031	14138	88
k141_565226||full_1	3937	0	0
k141_184142||full_1	4855	0	0
k141_544788||full_1	3170	40	4
k141_244896||full_1	16416	156	21
k141_525044||full_1	12036	966	6
k141_265681||full_1	12015	225	4
k141_465655||full_1	17711	365	44
k141_545193||full_1	43858	6810	56
k141_465712||full_1	2927	0	0
k141_205011||full_1	1226	134	1
k141_365622||full_1	3422	34	3
k141_245218||full_1	768	0	0
k141_345523||full_1	56049	5	1
k141_64221||full_1	13991	1740	61
k141_545378||full_1	981	31	0
k141_44311||full_1	9490	1199	13
k141_486005||full_1	8181	0	0
k141_466113||full_1	24034	2408	167
k141_24472||full_1	12981	223	6
k141_24473||full_1	8220	0	0
k141_305603||full_1	22128	0	0
k141_486339||full_1	2815	2167	77
k141_345880||full_1	21834	2	0
k141_24566||full_1	56862	13794	89
k141_205590||full_1	9069	0	0
k141_466751||full_1	7950	2	0
k141_326540||full_1	5448	1451	45
k141_306076||full_1	4842	0	0
k141_144983||full_1	15327	6857	59
k141_266779||full_1	20953	6	0
k141_266826||full_1	1399	0	0
k141_326714||full_1	9154	2587	50
k141_326714||full_2	40967	12101	60
k141_266860||full_1	450	2	2
k141_105526||full_1	4118	0	0
k141_25173||full_1	53505	5169	68
k141_267003||full_1	3464	387	12
k141_85172||full_1	7143	0	0
k141_467160||full_1	979	0	0
k141_346460||full_1	34706	28	0
k141_505935||full_1	12578	144	12
k141_346868||full_1	14914	1783	106
k141_467571||full_1	22729	1	1
k141_487291||full_1	859	573	65
k141_45739||full_1	11517	0	0
k141_145624||full_1	800	7	1
k141_145630||full_1	19368	24	0
k141_546704||full_1	12661	2	0
k141_267888||full_1	29538	74	1
k141_286610||full_1	2810	1561	100
k141_286671||full_1	2688	1114	39
k141_145699||full_1	3883	0	0
k141_387112||full_1	22711	7	0
k141_46044||full_1	9852	0	0
k141_286767||full_1	1215	261	20
k141_506602||full_1	41167	5457	110
k141_46104||full_1	9805	4234	77
k141_166541||full_1	1884	505	49
k141_307250||full_1	3005	480	22
k141_268172||full_1	11853	0	0
k141_287041||full_1	6769	0	0
k141_427464||full_1	1276	297	60
k141_447822||full_1	26843	12884	107
k141_487994||full_1	18015	7	2
k141_46642||full_1	529	36	13
k141_488134||full_1	40034	3007	21
k141_26875||full_1	47751	12512	145
k141_167130||full_1	682	0	0
k141_547517||full_1	13954	0	0
k141_568189||full_1	28304	4	0
k141_146562||full_1	1458	73	9
k141_427820||full_1	21915	2	0
k141_347931||full_1	1369	0	0
k141_107080||full_1	996	138	14
k141_248165||full_1	56082	28	2
k141_107143||full_1	3122	712	9
k141_587935||full_1	10914	0	0
k141_248488||full_1	39908	1182	8
k141_269259||full_1	1558	74	10
k141_368607||full_1	9209	0	0
k141_128516||full_1	12260	264	4
k141_87831||full_1	700	93	23
k141_208200||full_1	2913	564	77
k141_269626||full_1	3130	0	0
k141_388761||full_1	903	0	0
k141_449394||full_1	11748	5261	92
k141_388819||full_1	5889	2115	57
k141_349212||full_1	4301	2	0
k141_429198||full_1	68513	18	1
k141_228079||full_1	956	0	0
k141_508340||full_1	4002	7	1
k141_208990||full_1	14591	1402	174
k141_249877||full_1	34278	4	2
k141_548864||full_1	311	0	0
k141_188640||full_1	1798	137	6
k141_309638||full_1	753	12	0
k141_330225||full_1	4518	0	0
k141_289959||full_1	6347	0	0
k141_130198||full_1	63713	10785	101
k141_429899||full_1	2037	1	1
k141_169199||full_1	1313	3	1
k141_410091||full_1	1015	0	0
k141_109378||full_1	354	0	0
k141_530170||full_1	1439	0	0
k141_570639||full_1	1906	0	0
k141_189243||full_1	38	0	0
k141_410675||full_1	10521	1	1
k141_509666||full_1	14352	24	0
k141_169955||full_1	36217	26087	249
k141_29737||full_1	17419	543	9
k141_130989||full_1	7769	2	0
k141_110423||full_1	986	0	0
k141_170340||full_1	1665	0	0
k141_290871||full_1	3034	44	4
k141_310104||full_1	33408	0	0
k141_390930||full_1	20224	6	0
k141_451637||full_1	4517	114	55
k141_70100||full_1	567	0	0
k141_531130||full_1	36078	1431	10
k141_210566||full_1	7501	82	29
k141_471528||full_1	1110	0	0
k141_272489||full_1	12951	37	1
k141_431697||full_1	522	0	0
k141_210726||full_1	12490	10342	2314
k141_331982||full_1	3038	26	2
k141_291385||full_1	4307	0	0
k141_510608||full_1	2381	1	1
k141_431858||full_1	44933	4324	40
k141_591214||full_1	38389	4191	47
k141_372804||full_1	18076	54	0
k141_432432||full_1	633	0	0
k141_171126||full_1	34831	0	0
k141_572987||full_1	1097	5	1
k141_171235||full_1	4119	54	5
k141_372997||full_1	1662	0	0
k141_591728||full_1	22254	2192	13
k141_71383||full_1	17712	6854	74
k141_332889||full_1	3113	54	1
k141_492804||full_1	5392	62	7
k141_432750||full_1	1711	0	0
k141_373272||full_1	1239	23	3
k141_171981||full_1	1822	76	4
k141_453214||full_1	4255	163	38
k141_493336||full_1	797	34	3
k141_532630||full_1	10443	1344	15
k141_453297||full_1	4136	0	0
k141_133544||full_1	1344	197	21
k141_292667||full_1	608	45	6
k141_92297||full_1	774	157	66
k141_353072||full_1	29766	8057	188
k141_592840||full_1	40630	1328	27
k141_473564||full_1	549	0	0
k141_592967||full_1	43102	41531	238
k141_593012||full_1	4110	4215	80
k141_72612||full_1	19708	52	0
k141_393188||full_1	2349	0	0
k141_393483||full_1	4532	783	85
k141_32367||full_1	9912	0	0
k141_212826||full_1	1021	487	40
k141_413735||full_1	7094	0	0
k141_474338||full_1	32628	2	0
k141_474342||full_1	5524	5	0
k141_173675||full_1	39873	9740	56
k141_294227||full_1	14270	399	3
