k141_160354||full_1	16816	28	0
k141_40170||full_1	23760	10	0
k141_80323||full_1	22687	2312	25
k141_401227||full_1	3813	46	3
k141_501323||full_1	36185	3097	16
k141_561487||full_1	2890	81	1
k141_581512||full_1	27821	28	0
k141_100831||full_1	10905	111	22
k141_421700||full_1	2345	50	2
k141_501633||full_1	48335	394	4
k141_20656||full_1	303	0	0
k141_241430||full_1	4806	22	0
k141_281684||full_1	15474	103	4
k141_80816||full_1	637	23	3
k141_521974||full_1	2166	1426	149
k141_581897||full_1	1168	19	1
k141_121114||full_1	6687	1019	20
k141_562229||full_1	13977	3152	241
k141_281742||full_1	67736	30107	173
k141_140994||full_1	50359	9662	54
k141_542178||full_1	13932	174	0
k141_262296||full_1	8479	319	24
k141_21247||full_1	388	1	1
k141_422336||full_1	1806	138	7
k141_1757||full_1	4549	427	64
k141_582464||full_1	49942	48	0
k141_582584||full_1	657	26	8
k141_81403||full_1	16049	311	4
k141_402833||full_1	5606	1964	70
k141_563077||full_1	3883	74	0
k141_101932||full_1	30869	100	2
k141_483033||full_1	34551	2749	31
k141_2327||full_1	9114	362	6
k141_242403||full_1	4669	1544	98
k141_502672||full_1	44095	50	2
k141_582804||full_1	4015	722	19
k141_522911||full_1	1099	2	0
k141_242485||full_1	75521	54	0
k141_403173||full_1	1434	247	2
k141_383071||full_1	20452	0	0
k141_523006||full_1	1357	16	0
k141_403229||full_1	6453	0	0
k141_582944||full_1	3274	134	30
k141_222007||full_1	5463	783	37
k141_383120||full_1	13284	732	18
k141_263219||full_1	1977	14	4
k141_162439||full_1	8478	350	43
k141_343459||full_1	3166	40	6
k141_523493||full_1	56588	6502	674
k141_323785||full_1	629	97	23
k141_363576||full_1	17202	2714	22
k141_263667||full_1	2711	463	130
k141_62478||full_1	14986	2167	41
k141_343677||full_1	13422	444	11
k141_324098||full_1	4090	15	2
k141_163040||full_1	1459	0	0
k141_484035||full_1	10006	4	1
k141_243366||full_1	2436	171	8
k141_182763||full_1	18442	3541	26
k141_423947||full_1	3476	0	0
k141_123441||full_1	26879	87	1
k141_484235||full_1	510	2	2
k141_42761||full_1	1649	77	5
k141_62828||full_1	58768	325	28
k141_283753||full_1	31803	22	0
k141_103244||full_1	1234	4	0
k141_344407||full_1	8347	16	0
k141_63290||full_1	4638	851	81
k141_223404||full_1	2157	1360	42
k141_565008||full_1	26608	564	79
k141_284445||full_1	5204	142	4
k141_304674||full_1	53305	40	2
k141_404917||full_1	35587	374	4
k141_143554||full_1	25222	320	152
k141_544502||full_1	34899	300	2
k141_384971||full_1	926	0	0
k141_325451||full_1	4147	628	28
k141_365081||full_1	1951	0	0
k141_504274||full_1	438	16	6
k141_204677||full_1	13109	619	95
k141_284640||full_1	14129	28	0
k141_164324||full_1	71031	24922	119
k141_565226||full_1	3937	48	2
k141_184142||full_1	4855	460	37
k141_544788||full_1	3170	21	1
k141_244896||full_1	16416	420	2
k141_525044||full_1	12036	6	0
k141_265681||full_1	12015	99	1
k141_465655||full_1	17711	838	46
k141_545193||full_1	43858	2713	15
k141_465712||full_1	2927	104	21
k141_205011||full_1	1226	271	8
k141_365622||full_1	3422	12	2
k141_245218||full_1	768	2	0
k141_345523||full_1	56049	5690	21
k141_64221||full_1	13991	506	10
k141_545378||full_1	981	29	3
k141_44311||full_1	9490	433	5
k141_486005||full_1	8181	594	3
k141_466113||full_1	24034	967	153
k141_24472||full_1	12981	3060	53
k141_24473||full_1	8220	41	3
k141_305603||full_1	22128	579	1
k141_486339||full_1	2815	376	22
k141_345880||full_1	21834	10787	73
k141_24566||full_1	56862	3173	12
k141_205590||full_1	9069	123	3
k141_466751||full_1	7950	0	0
k141_326540||full_1	5448	48	2
k141_306076||full_1	4842	126	3
k141_144983||full_1	15327	97	3
k141_266779||full_1	20953	2540	17
k141_266826||full_1	1399	10	0
k141_326714||full_1	9154	34	2
k141_326714||full_2	40967	296	2
k141_266860||full_1	450	0	0
k141_105526||full_1	4118	169	9
k141_25173||full_1	53505	8125	28
k141_267003||full_1	3464	73	1
k141_85172||full_1	7143	104	2
k141_467160||full_1	979	27	0
k141_346460||full_1	34706	20261	155
k141_505935||full_1	12578	66	10
k141_346868||full_1	14914	542	27
k141_467571||full_1	22729	196	5
k141_487291||full_1	859	104	11
k141_45739||full_1	11517	183	1
k141_145624||full_1	800	5	1
k141_145630||full_1	19368	160	0
k141_546704||full_1	12661	824	18
k141_267888||full_1	29538	664	4
k141_286610||full_1	2810	19	0
k141_286671||full_1	2688	17	1
k141_145699||full_1	3883	73	1
k141_387112||full_1	22711	12	0
k141_46044||full_1	9852	2359	16
k141_286767||full_1	1215	357	14
k141_506602||full_1	41167	471	112
k141_46104||full_1	9805	36	2
k141_166541||full_1	1884	50	10
k141_307250||full_1	3005	36	2
k141_268172||full_1	11853	162	2
k141_287041||full_1	6769	237	1
k141_427464||full_1	1276	120	11
k141_447822||full_1	26843	110	3
k141_487994||full_1	18015	203	23
k141_46642||full_1	529	13	7
k141_488134||full_1	40034	1606	20
k141_26875||full_1	47751	331	5
k141_167130||full_1	682	9	2
k141_547517||full_1	13954	3414	37
k141_568189||full_1	28304	9	3
k141_146562||full_1	1458	60	6
k141_427820||full_1	21915	191	3
k141_347931||full_1	1369	15	1
k141_107080||full_1	996	67	6
k141_248165||full_1	56082	2927	9
k141_107143||full_1	3122	3	1
k141_587935||full_1	10914	269	1
k141_248488||full_1	39908	344	7
k141_269259||full_1	1558	6	4
k141_368607||full_1	9209	137	6
k141_128516||full_1	12260	1274	32
k141_87831||full_1	700	162	24
k141_208200||full_1	2913	364	67
k141_269626||full_1	3130	186	11
k141_388761||full_1	903	16	4
k141_449394||full_1	11748	31	1
k141_388819||full_1	5889	995	33
k141_349212||full_1	4301	129	5
k141_429198||full_1	68513	34401	384
k141_228079||full_1	956	4	0
k141_508340||full_1	4002	47	1
k141_208990||full_1	14591	57	16
k141_249877||full_1	34278	9613	46
k141_548864||full_1	311	13	3
k141_188640||full_1	1798	40	6
k141_309638||full_1	753	50	3
k141_330225||full_1	4518	80	1
k141_289959||full_1	6347	18	0
k141_130198||full_1	63713	14513	55
k141_429899||full_1	2037	153	6
k141_169199||full_1	1313	6	0
k141_410091||full_1	1015	8	2
k141_109378||full_1	354	0	0
k141_530170||full_1	1439	0	0
k141_570639||full_1	1906	42	0
k141_189243||full_1	38	0	0
k141_410675||full_1	10521	54	1
k141_509666||full_1	14352	308	5
k141_169955||full_1	36217	601	35
k141_29737||full_1	17419	71	1
k141_130989||full_1	7769	11	1
k141_110423||full_1	986	10	0
k141_170340||full_1	1665	8	0
k141_290871||full_1	3034	13	1
k141_310104||full_1	33408	4196	15
k141_390930||full_1	20224	223	4
k141_451637||full_1	4517	56	21
k141_70100||full_1	567	8	0
k141_531130||full_1	36078	50	1
k141_210566||full_1	7501	211	9
k141_471528||full_1	1110	32	2
k141_272489||full_1	12951	121	3
k141_431697||full_1	522	0	0
k141_210726||full_1	12490	65	6
k141_331982||full_1	3038	20	0
k141_291385||full_1	4307	21	0
k141_510608||full_1	2381	18	0
k141_431858||full_1	44933	848	11
k141_591214||full_1	38389	2573	24
k141_372804||full_1	18076	477	9
k141_432432||full_1	633	2	0
k141_171126||full_1	34831	109	4
k141_572987||full_1	1097	2	0
k141_171235||full_1	4119	401	11
k141_372997||full_1	1662	56	2
k141_591728||full_1	22254	585	4
k141_71383||full_1	17712	3613	24
k141_332889||full_1	3113	6	0
k141_492804||full_1	5392	20	6
k141_432750||full_1	1711	26	1
k141_373272||full_1	1239	3	1
k141_171981||full_1	1822	35	9
k141_453214||full_1	4255	336	19
k141_493336||full_1	797	0	0
k141_532630||full_1	10443	12	0
k141_453297||full_1	4136	31	1
k141_133544||full_1	1344	242	15
k141_292667||full_1	608	10	2
k141_92297||full_1	774	46	22
k141_353072||full_1	29766	24	13
k141_592840||full_1	40630	86	2
k141_473564||full_1	549	0	0
k141_592967||full_1	43102	1793	9
k141_593012||full_1	4110	1306	16
k141_72612||full_1	19708	746	8
k141_393188||full_1	2349	16	0
k141_393483||full_1	4532	195	6
k141_32367||full_1	9912	1100	12
k141_212826||full_1	1021	247	54
k141_413735||full_1	7094	26	2
k141_474338||full_1	32628	504	4
k141_474342||full_1	5524	55	1
k141_173675||full_1	39873	320	2
k141_294227||full_1	14270	83	2
k141_434202||full_1	29613	770	6
k141_414092||full_1	7667	2	0
k141_275219||full_1	6487	181	2
k141_213169||full_1	225	4	0
k141_313655||full_1	1257	5	1
k141_534423||full_1	10861	59	11
k141_114691||full_1	13362	169	3
k141_314060||full_1	13825	155	5
k141_135371||full_1	36262	577	5
k141_314086||full_1	3987	149	12
k141_394648||full_1	39714	20	4
k141_94162||full_1	4137	36	2
k141_33445||full_1	237	0	0
k141_33586||full_1	2837	21	2
k141_53351||full_1	871	24	1
k141_255482||full_1	75100	0	0
k141_554077||full_1	27550	66	0
k141_554128||full_1	12032	0	0
k141_74673||full_1	24288	44	0
k141_455938||full_1	1115	35	25
k141_376631||full_1	1171	5	0
k141_34206||full_1	13691	7851	56
